Timestamp,Do you like snow? (Answer Yes or No),What month were you born in?,What state or country did you grow up in?,Introvert or extrovert?,"Did you grow up in a rural, suburban, or urban environment?",Do you shovel snow where you currently live?,How far do you travel by car annually (best estimate on scale)?,Temple Major,Enjoy Coding?,Favorite Sport,Age
12/1/2021 11:04:11,Yes,April,Alaska,3,Rural,Yes,7,Chemistry,5,Nordic skiing,22
12/1/2021 11:56:20,Yes,April,Pennsylvania,3,Suburban,Yes,4,Graphic design,2,Other,19
12/1/2021 11:56:21,Yes,February,Maryland,4,Suburban,Yes,6,Biology,4,Soccer,19
12/1/2021 11:57:54,No,April,Pennsylvania,2,Urban,No,5,Biology ,4,Tennis,18
12/1/2021 11:58:42,Yes,August,Pennsylvania,2,Suburban,Yes,6,Biochemistry,3,Gymnastics,18
12/1/2021 11:59:28,Yes,February,Vermont,4,Suburban,Yes,10,Environmental Science,2,Other,20
12/1/2021 12:01:26,Yes,November,New Jersey,2,Suburban,Yes,3,Biology,4,Rugby,18
12/1/2021 12:01:42,Yes,August,New Jersey,3,Suburban,Yes,9,Biology,2,Basketball,18
12/1/2021 12:02:06,No,May,Pennsylvania,1,Suburban,Yes,10,Biology,2,Baseball,18
12/1/2021 12:02:20,Yes,July,Outside US,1,Urban,No,1,Biochemistry,4,Tennis,22
12/1/2021 12:03:50,Yes,December,Pennsylvania,4,Suburban,Yes,6,Biology,3,Badminton,19
12/1/2021 12:06:21,Yes,June,Pennsylvania,2,Urban,Yes,5,Computer science and physics,4,Volleyball,18
12/1/2021 12:11:27,Yes,November,Pennsylvania,3,Suburban,Yes,2,Biology,3,Tennis,19
12/1/2021 12:17:28,No,April,Pennsylvania,5,Suburban,Yes,8,Health Professions ,1,Softball,18
12/1/2021 12:24:16,Yes,February,New York,4,Urban,Yes,5,Genomic medicine,3,Lacrosse,17
12/1/2021 12:25:48,Yes,November,Delaware,4,Suburban,Yes,3,IST,3,Basketball,19
12/1/2021 12:26:54,No,March,Outside US,1,Suburban,No,4,Natural Sciences,1,Badminton,21
12/1/2021 12:37:58,Yes,August,Florida,4,Suburban,No,8,Undeclared,1,Tennis,19
12/1/2021 12:40:26,Yes,February,Pennsylvania,5,Urban,Yes,1,Environmental Science ,1,Swimming,19
