Environment,Spotted Lanternfly Observed
Urban,55
Urban,120
Urban,105
Urban,196
Urban,244
Urban,117
Urban,194
Urban,230
Urban,165
Urban,61
Urban,212
Urban,200
Urban,51
Urban,201
Urban,154
Urban,184
Urban,82
Urban,251
Urban,235
Urban,217
Urban,252
Urban,51
Urban,76
Urban,176
Urban,214
Urban,62
Urban,95
Urban,209
Urban,246
Urban,224
Urban,195
Urban,173
Urban,150
Urban,133
Urban,198
Urban,234
Urban,195
Urban,155
Urban,77
Urban,257
Urban,210
Urban,237
Urban,81
Urban,85
Urban,52
Rural,259
Rural,267
Rural,222
Rural,246
Rural,164
Rural,269
Rural,249
Rural,239
Rural,270
Rural,181
Rural,186
Rural,163
Rural,237
Rural,129
Rural,187
Rural,209
Rural,259
Rural,205
Rural,245
Rural,82
Rural,225
Rural,167
Rural,262
Rural,213
Rural,187
Rural,87
Rural,256
Rural,205
Rural,225
Rural,218
Rural,102
Rural,185
Rural,255
Rural,108
Rural,127
Rural,93
Rural,105
Rural,223
Rural,273
Rural,274
Rural,171
Rural,106
Rural,192
Rural,229
Rural,176
Rural,160
Rural,231
Rural,92
Rural,119
Rural,209
Rural,92
Rural,272
Rural,122
Rural,118
Rural,247
Rural,247
Rural,212
Rural,264
Rural,164
Rural,176
Rural,225
Rural,210
Rural,164
Rural,112
Rural,93
Rural,131
Rural,210
Rural,81
Rural,132
Rural,162
Rural,187
Rural,263
Rural,85
Rural,207
Rural,194
Rural,272
Rural,164
Rural,140
Rural,131
Rural,199
Rural,245
Rural,267
Rural,172
Rural,207
Rural,254
