Family,Father,Mother,Gender,Height,Kids,MidParent,AdltChld
1,78.5,67,M,73.2,4,75.43,73.2
1,78.5,67,F,69.2,4,75.43,74.736
1,78.5,67,F,69,4,75.43,74.52
1,78.5,67,F,69,4,75.43,74.52
2,75.5,66.5,M,73.5,4,73.66,73.5
2,75.5,66.5,M,72.5,4,73.66,72.5
2,75.5,66.5,F,65.5,4,73.66,70.74
2,75.5,66.5,F,65.5,4,73.66,70.74
3,75,64,M,71,2,72.06,71
3,75,64,F,68,2,72.06,73.44
4,75,64,M,70.5,5,72.06,70.5
4,75,64,M,68.5,5,72.06,68.5
4,75,64,F,67,5,72.06,72.36
4,75,64,F,64.5,5,72.06,69.66
4,75,64,F,63,5,72.06,68.04
5,75,58.5,M,72,6,69.09,72
5,75,58.5,M,69,6,69.09,69
5,75,58.5,M,68,6,69.09,68
5,75,58.5,F,66.5,6,69.09,71.82
5,75,58.5,F,62.5,6,69.09,67.5
5,75,58.5,F,62.5,6,69.09,67.5
6,74,68,F,69.5,1,73.72,75.06
7,74,68,M,76.5,6,73.72,76.5
7,74,68,M,74,6,73.72,74
7,74,68,M,73,6,73.72,73
7,74,68,M,73,6,73.72,73
7,74,68,F,70.5,6,73.72,76.14
7,74,68,F,64,6,73.72,69.12
8,74,66.5,F,70.5,3,72.91,76.14
8,74,66.5,F,68,3,72.91,73.44
8,74,66.5,F,66,3,72.91,71.28
9,74.5,66,F,66,1,72.89,71.28
10,74,65.5,F,65.5,1,72.37,70.74
11,74,62,M,74,8,70.48,74
11,74,62,M,70,8,70.48,70
11,74,62,F,68,8,70.48,73.44
11,74,62,F,67,8,70.48,72.36
11,74,62,F,67,8,70.48,72.36
11,74,62,F,66,8,70.48,71.28
11,74,62,F,63.5,8,70.48,68.58
11,74,62,F,63,8,70.48,68.04
12,74,61,F,65,1,69.94,70.2
14,73,67,M,68,2,72.68,68
14,73,67,M,67,2,72.68,67
15,73,66.5,M,71,3,72.41,71
15,73,66.5,M,70.5,3,72.41,70.5
15,73,66.5,F,66.7,3,72.41,72.036
16,73,65,M,72,9,71.6,72
16,73,65,M,70.5,9,71.6,70.5
16,73,65,M,70.2,9,71.6,70.2
16,73,65,M,70.2,9,71.6,70.2
16,73,65,M,69.2,9,71.6,69.2
16,73,65,F,68.7,9,71.6,74.196
16,73,65,F,66.5,9,71.6,71.82
16,73,65,F,64.5,9,71.6,69.66
16,73,65,F,63.5,9,71.6,68.58
17,73,64.5,M,74,6,71.33,74
17,73,64.5,M,73,6,71.33,73
17,73,64.5,M,71.5,6,71.33,71.5
17,73,64.5,M,62.5,6,71.33,62.5
17,73,64.5,F,66.5,6,71.33,71.82
17,73,64.5,F,62.3,6,71.33,67.284
18,73,64,F,66,3,71.06,71.28
18,73,64,F,64.5,3,71.06,69.66
18,73,64,F,64,3,71.06,69.12
19,73.2,63,F,62.7,1,70.62,67.716
20,72.7,69,M,73.2,8,73.61,73.2
20,72.7,69,M,73,8,73.61,73
20,72.7,69,M,72.7,8,73.61,72.7
20,72.7,69,F,70,8,73.61,75.6
20,72.7,69,F,69,8,73.61,74.52
20,72.7,69,F,68.5,8,73.61,73.98
20,72.7,69,F,68,8,73.61,73.44
20,72.7,69,F,66,8,73.61,71.28
21,72,68,M,73,3,72.72,73
21,72,68,F,68.5,3,72.72,73.98
21,72,68,F,68,3,72.72,73.44
22,72,67,M,73,3,72.18,73
