hotel,enrgcons,area,age,numrooms,occrate,effrooms
1,1953916,43000,6,420,0.3260,136.92
2,1045555,19979,16,215,0.6300,135.45
3,4245313,46529,7,273,0.6505,177.59
4,2126199,20962,6,222,0.7050,156.51
5,2785958,24212,5,474,0.6970,330.38
6,13833968,112200,4,787,0.4897,385.39
7,5558123,45000,3,325,0.4900,159.25
8,4001213,28548,6,199,0.5227,104.02
9,4669758,32865,8,359,0.5000,179.5
10,8924035,59406,5,503,0.5766,290.03
11,6865534,45000,10,416,0.9408,391.37
12,6014590,37435,13,418,0.6870,287.17
13,8185738,50828,4,347,0.4900,170.03
14,11736136,68000,13,455,0.6420,292.11
15,14837426,78868,8,511,0.6351,324.54
16,5366490,28454,13,219,0.7654,167.62
17,13516215,70000,4,501,0.6757,338.53
18,3884425,20000,5,197,0.6600,130.02
19,10573409,50000,12,318,0.6150,195.57
