Year,Time,Length
1875,157.75,1.5
1876,158.25,1.5
1877,158,1.5
1878,157.25,1.5
1879,157,1.5
1880,157.5,1.5
1881,160,1.5
1882,160.25,1.5
1883,163,1.5
1884,160.25,1.5
1885,157.25,1.5
1886,156.5,1.5
1887,159.25,1.5
1888,158.25,1.5
1889,154.5,1.5
1890,165,1.5
1891,172.25,1.5
1892,161.5,1.5
1893,159.25,1.5
1894,161,1.5
1895,157.5,1.5
1896,127.75,1.25
1897,132.5,1.25
1898,129,1.25
1899,132,1.25
1900,126.25,1.25
1901,127.75,1.25
1902,128.75,1.25
1903,129,1.25
1904,128.5,1.25
1905,130.75,1.25
1906,128.8,1.25
1907,132.6,1.25
1908,135.2,1.25
1909,128.2,1.25
1910,126.4,1.25
1911,125,1.25
1912,129.4,1.25
1913,124.8,1.25
1914,123.4,1.25
1915,125.4,1.25
1916,124,1.25
1917,124.6,1.25
1918,130.8,1.25
1919,129.8,1.25
1920,129,1.25
1921,124.2,1.25
1922,124.6,1.25
1923,125.4,1.25
1924,125.2,1.25
1925,127.6,1.25
1926,123.8,1.25
1927,126,1.25
1928,130.4,1.25
1929,130.8,1.25
1930,127.6,1.25
1931,121.8,1.25
1932,125.2,1.25
1933,126.8,1.25
1934,124,1.25
1935,125,1.25
1936,123.6,1.25
1937,123.2,1.25
1938,124.8,1.25
1939,123.4,1.25
1940,125,1.25
1941,122.4,1.25
1942,124.4,1.25
1943,124,1.25
1944,124.2,1.25
1945,127,1.25
1946,126.6,1.25
1947,126.8,1.25
1948,125.4,1.25
1949,124.2,1.25
1950,121.6,1.25
1951,122.6,1.25
1952,121.6,1.25
1953,122,1.25
1954,123,1.25
1955,121.8,1.25
1956,123.4,1.25
1957,122.2,1.25
1958,125,1.25
1959,122.2,1.25
1960,122.4,1.25
1961,124,1.25
1962,120.4,1.25
1963,121.8,1.25
1964,120,1.25
1965,121.2,1.25
1966,122,1.25
1967,120.6,1.25
1968,122.2,1.25
1969,121.8,1.25
1970,123.4,1.25
1971,123.2,1.25
1972,121.8,1.25
1973,119.4,1.25
1974,124,1.25
1975,122,1.25
1976,121.6,1.25
1977,122.2,1.25
1978,121.2,1.25
1979,122.4,1.25
1980,122,1.25
1981,122,1.25
1982,122.4,1.25
1983,122.2,1.25
1984,122.4,1.25
1985,120.2,1.25
1986,122.8,1.25
1987,123.4,1.25
1988,122.2,1.25
1989,125,1.25
1990,122,1.25
1991,123,1.25
1992,123,1.25
1993,122.4,1.25
1994,123.6,1.25
1995,121.2,1.25
1996,121,1.25
1997,122.4,1.25
1998,122.2,1.25
1999,123.2,1.25
2000,121,1.25
2001,119.97,1.25
2002,121.13,1.25
2003,121.19,1.25
2004,124.06,1.25
2005,122.75,1.25
2006,121.36,1.25
2007,122.17,1.25
2008,121.82,1.25
2009,122.66,1.25
2010,124.45,1.25
2011,122.04,1.25
2012,121.83,1.25
2013,122.89,1.25
2014,123.66,1.25
2015,123.02,1.25
2016,121.31,1.25
