V relative (km/s),V infinity (km/s),H (mag),CA Distance LD,CA Distance AU
12.88,12.87,25.4,5.88 , 0.01512
13.31,13.24,27.5,1.11 , 0.00285
4.77,4.75,27.9,11.07 , 0.02845
8.44,8.42,27.2,7.28 , 0.01871
5.46,5.33,29.6,1.53 , 0.00394
10.04,10.02,27.2,5.94 , 0.01527
17.25,17.23,27.7,3.01 , 0.00773
8.28,8.25,26.9,4.27 , 0.01098
7.96,7.9,28.4,2.07 , 0.00531
11.59,11.59,25.0,16.19 , 0.04159
4.77,4.74,27.4,6.39 , 0.01642
10.82,10.79,26.9,3.99 , 0.01026
11.35,11.27,27.3,1.05 , 0.00271
3.23,3.17,28.2,5.09 , 0.01307
3.65,3.54,27.7,2.83 , 0.00728
8.73,8.72,24.9,11.66 , 0.02996
6.58,6.55,27.2,5.97 , 0.01534
6.77,6.76,27.2,18.46 , 0.04744
4.75,4.71,24.3,4.95 , 0.01271
4.56,4.55,25.1,16.72 , 0.04296
7.44,7.42,26.9,8.12 , 0.02086
6.18,6.16,26.6,12.58 , 0.03233
3.91,3.86,27.7,5.67 , 0.01458
17.79,17.79,25.0,8.32 , 0.02139
25.07,25.07,19.3,11.19 , 0.02876
16.28,16.28,24.7,17.63 , 0.04531
3.91,,28.8,0.13 , 0.00034
6.36,6.35,28.9,16.06 , 0.04126
3.13,3.1,25.9,12.18 , 0.03129
8.61,8.6,25.4,18.30 , 0.04703
4.41,4.39,26.1,13.20 , 0.03393
15.61,15.6,24.4,10.79 , 0.02773
3.36,3.25,27.6,3.07 , 0.00788
10.01,10.0,22.3,7.86 , 0.02019
9.16,9.15,23.4,11.66 , 0.02996
5.35,5.32,27.9,7.29 , 0.01872
4.71,4.69,24.4,15.45 , 0.03971
7.15,7.14,26.8,16.79 , 0.04313
15.78,15.78,20.9,18.19 , 0.04674
4.89,4.87,24.8,8.76 , 0.02250
7.75,7.74,27.4,13.59 , 0.03492
16.73,16.73,20.5,19.26 , 0.04948
4.43,4.4,25.1,8.19 , 0.02104
10.99,10.98,19.7,9.56 , 0.02457
15.08,15.07,19.7,14.70 , 0.03777
7.86,7.86,22.6,19.44 , 0.04995
3.68,3.67,23.3,18.11 , 0.04654
